Row Labels,Average of price(£),Count of model
12C,229900.00,1
540C,92995.00,1
600LT,189850.00,1
675LT,229995.00,1
720S,227850.00,1
Mercedes-Benz,21094.24,1256
300,9500.00,1
350,42480.00,1
A,18193.41,49
AMG,90537.67,6
B,10984.72,25
C,21027.79,459
CL,14475.00,5
CLA,19702.63,70
CLC,3931.36,11
CLK,4489.15,20
CLS,17179.03,36
E,21077.33,263
G,64472.50,2
GL,45366.63,8
GLA,19739.05,22
GLC,32551.31,61
GLE,43336.25,16
M,10672.33,6
R,3795.00,1
S,31913.24,25
SL,20377.89,55
SLC,21952.29,28
SLK,9004.41,71
V,36645.38,13
Viano,6492.50,2
Mg,5845.62,13
MG6,4995.00,1
MGB,7995.00,3
MGF,5995.00,1
MGTF,5337.33,6
Midget,5999.00,1
ZS,2995.00,1
Mini,9937.49,207
Clubman,15620.67,9
Convertible,9831.92,92
Countryman,16028.33,9
Coupe,7096.94,18
Hatch,9687.74,58
Paceman,9344.17,12
Roadster,7324.22,9
Mitsubishi,15499.75,51
ASX,13715.14,7
Colt,2261.67,3
Eclipse,17499.00,1
Outlander,18144.37,27
Shogun,13869.15,13
Morgan,48995.00,3
Plus,42995.00,1
Roadster,51995.00,2
Nissan,12610.00,259
100NX,2995.00,1
350Z,5495.00,1
370Z,21422.57,7
Almera,990.00,1
Cube,4750.00,1
Elgrand,7684.41,17
Fairlady,22750.00,1
Figaro,3990.00,1
GT-R,62650.83,6
Juke,9602.00,36
Leaf,22996.50,2
Micra,7495.24,21
Note,4498.64,36
NV200,7890.00,1
Pathfinder,10393.33,3
Pulsar,9245.00,2
Qashqai,13529.59,46
Qashqai+2,7925.00,4
Serena,4999.00,1
Skyline,4495.00,1
X-Trail,16234.14,70
Peugeot,8601.75,266
107,2180.00,3
108,7119.17,24
205,2995.00,1
206,1394.00,4
207,2621.50,28
208,8407.63,16
307,1663.83,6
308,7639.57,35
406,1495.00,1
407,3158.33,3
508,12780.00,11
2008,10360.76,37
3008,16517.21,28
5008,6359.55,11
Expert,9591.00,3
Partner,8136.33,27
RCZ,6777.41,17
Rifter,16890.64,11
Porsche,44193.46,135
718,51345.50,8
911,62636.72,57
924,15995.00,1
928,29995.00,1
944,15997.00,2
Boxster,18490.32,31
Cayenne,47838.57,7
Cayman,32722.65,23
Macan,34495.00,1
Panamera,52972.50,4
Renault,6831.71,197
Captur,10172.38,24
Clio,7538.86,28
Espace,3000.00,2
Grand,9232.21,33
Kadjar,12979.33,12
Kangoo,3765.71,7
Laguna,1992.50,2
Megane,4453.48,42
Scenic,4343.74,43
Wind,3681.67,3
ZOE,8990.00,1
Rolls-Royce,144348.70,10
Ghost,99995.00,1
Phantom,127470.00,2
Silver,164965.00,3
Wraith,148414.25,4
Rover,8092.50,4
25,975.00,1
75,1995.00,1
P2,14700.00,2
Saab,3742.39,28
09/03/2020,3707.42,26
09/05/2020,4197.00,2
Seat,11935.57,144
Alhambra,14090.62,29
Altea,2912.50,8
Arona,16147.50,2
Ateca,17762.60,20
Ibiza,7730.42,38
Leon,13304.41,44
Mii,6699.00,3
Skoda,11951.69,150
Citigo,6795.00,1
Fabia,8937.60,20
Karoq,18957.20,5
Kodiaq,23796.57,14
Octavia,11232.28,43
Rapid,6998.00,1
Roomster,4938.36,14
Scala,17090.00,2
Superb,13038.79,19
Yeti,10910.61,31
Smart,5673.33,42
City-Cabriolet,1995.00,1
Forfour,9759.67,3
Fortwo,5542.00,36
Roadster,3747.00,2
Ssangyong,11709.93,14
Korando,12737.60,5
Kyron,3995.00,1
Rexton,6295.00,1
Rodius,2495.00,1
Tivoli,15495.00,1
Turismo,14394.20,5
Subaru,14138.38,21
Forester,20095.38,8
Impreza,5280.57,7
L,15495.00,1
Outback,8695.00,1
WRX,16499.50,2
XV,20995.00,2
Suzuki,10733.37,81
Alto,3947.00,2
Baleno,9247.00,2
Celerio,5890.00,1
Grand,3872.50,2
Ignis,10995.00,2
Jimny,8060.92,13
Splash,3897.00,2
Swift,7548.44,9
SX4,11706.00,9
Vitara,13372.15,39
Toyota,11751.51,172
Alphard,12198.94,16
Auris,11483.18,11
Avensis,4482.00,7
Aygo,6971.80,20
C-HR,21481.67,6
Camry,13995.00,2
Celica,2360.00,3
Corolla,12852.00,15
Estima,10053.00,9
GT86,20331.00,3
IQ,3190.00,2
Landcruiser,12044.00,5
MR2,2894.80,5
Previa,8147.67,3
Prius,17133.75,4
RAV,17978.50,32
Vellfire,13997.00,2
Verso,9262.67,9
Yaris,8890.00,18
Triumph,22750.00,1
TR4,22750.00,1
TVR,24995.00,1
Chimaera,24995.00,1
Vauxhall,8472.70,581
Adam,6717.33,6
Agila,3515.00,4
Ampera,13499.00,1
Antara,5495.00,1
Astra,8356.20,82
Cascada,8372.33,6
Combo,15141.64,22
Corsa,7700.65,60
Crossland,13552.54,13
Grandland,17810.70,27
GTC,8260.96,24
Insignia,9961.53,43
Meriva,4789.59,61
Mokka,11576.47,38
Omega,3999.00,1
Tigra,1715.37,19
Vectra,1490.00,1
Viva,6597.00,2
Vivaro,20997.50,2
Zafira,7200.38,168
Volkswagen,14889.06,622
Amarok,10990.00,1
Arteon,22246.67,6
Beetle,8439.67,18
Caddy,13948.23,13
California,55927.83,6
Caravelle,30273.22,9
CC,8515.75,16
EOS,4717.05,22
Golf,12244.88,110
Jetta,3186.60,5
Lupo,1350.00,1
Passat,13357.74,77
Polo,9904.56,39
Scirocco,11277.44,66
Sharan,14866.56,27
T-Cross,20389.71,7
T-Roc,23506.60,5
Tiguan,21037.96,102
Touareg,25633.64,39
Touran,12066.86,44
Up,8188.22,9
Volvo,27593.62,371
C30,3487.50,6
