,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
2207,4299,38266.0,5.0,MPV,1248.0,Manual,2011.0,Fiat,Qubo
2208,9995,23000.0,5.0,MPV,1598.0,Manual,2016.0,Peugeot,Partner
2209,13990,38255.0,5.0,MPV,1461.0,Automatic,2017.0,Mercedes-Benz,B
2210,10997,39125.0,5.0,MPV,1997.0,Automatic,2012.0,Ford,S-Max
2211,6995,85623.0,5.0,MPV,1560.0,Manual,2015.0,Citroen,C4
2212,13499,8820.0,5.0,MPV,1461.0,Manual,2017.0,Mercedes-Benz,B
2213,19499,17116.0,5.0,MPV,1997.0,Manual,2017.0,Ford,S-Max
2214,3595,64405.0,5.0,MPV,1560.0,Manual,2011.0,Citroen,C4
2215,13089,19521.0,5.0,MPV,1598.0,Manual,2016.0,Renault,Scenic
2216,3000,83000.0,5.0,MPV,2200.0,Automatic,2007.0,Renault,Espace
2217,7000,52900.0,5.0,MPV,1364.0,Automatic,2016.0,Vauxhall,Meriva
2218,10249,35709.0,5.0,MPV,1560.0,Manual,2016.0,Citroen,C4
2219,16990,24559.0,5.0,MPV,1997.0,Automatic,2016.0,Ford,S-Max
2220,5450,41468.0,5.0,MPV,1560.0,Manual,2015.0,Citroen,C3
2221,2499,84000.0,5.0,MPV,1560.0,Automatic,2010.0,Citroen,C4
2222,8395,30000.0,5.0,MPV,1198.0,Manual,2017.0,Nissan,Note
2223,16500,17870.0,5.0,MPV,1995.0,Automatic,2016.0,BMW,2
2224,6495,28000.0,5.0,MPV,1591.0,Automatic,2012.0,Hyundai,IX20
2226,5498,67542.0,5.0,MPV,1461.0,Automatic,2014.0,Renault,Scenic
2227,6750,65000.0,5.0,MPV,1956.0,Automatic,2013.0,Vauxhall,Zafira
2228,4485,68000.0,5.0,MPV,1995.0,Automatic,2010.0,Renault,Grand
2229,3795,62735.0,5.0,MPV,1598.0,Automatic,2010.0,Nissan,Note
2230,2195,102000.0,5.0,MPV,1794.0,Automatic,2003.0,Toyota,Corolla
2231,8350,55000.0,5.0,MPV,1997.0,Automatic,2010.0,Ford,S-Max
2232,3495,80784.0,5.0,MPV,1997.0,Manual,2007.0,Ford,S-Max
2233,2995,110021.0,5.0,MPV,1999.0,Manual,2007.0,Ford,Galaxy
2234,10799,10835.0,5.0,MPV,1364.0,Manual,2016.0,Vauxhall,Zafira
2235,13990,10595.0,5.0,MPV,1560.0,Automatic,2016.0,Citroen,C4
2236,6099,35433.0,5.0,MPV,1400.0,Manual,2015.0,Vauxhall,Meriva
2237,2995,77400.0,5.0,MPV,2776.0,Automatic,2008.0,Chrysler,Voyager
2238,2800,107000.0,5.0,MPV,1870.0,Manual,2011.0,Renault,Scenic
2239,3499,100000.0,5.0,MPV,1968.0,Manual,2007.0,Volkswagen,Touran
2240,9850,12989.0,5.0,MPV,1560.0,Automatic,2015.0,Peugeot,Partner
2241,17690,28200.0,5.0,MPV,1968.0,Manual,2016.0,Seat,Ateca
2242,2995,70000.0,5.0,MPV,1896.0,Manual,2007.0,Seat,Altea
2243,8521,29978.0,5.0,MPV,1796.0,Manual,2015.0,Vauxhall,Zafira
2244,24000,10.0,5.0,MPV,1499.0,Automatic,2019.0,BMW,2
2245,5980,68892.0,5.0,MPV,1956.0,Manual,2015.0,Vauxhall,Zafira
2246,1995,82239.0,5.0,MPV,1870.0,Manual,2006.0,Renault,Scenic
2247,2000,80000.0,5.0,MPV,1596.0,Manual,2008.0,Ford,C-Max
2248,6995,59000.0,5.0,MPV,1461.0,Manual,2014.0,Mercedes-Benz,B
2249,6995,45961.0,5.0,MPV,1396.0,Manual,2015.0,Hyundai,IX20
2250,3690,86000.0,5.0,MPV,1796.0,Manual,2014.0,Vauxhall,Zafira
2251,11999,59523.0,5.0,MPV,1968.0,Automatic,2016.0,Volkswagen,Caddy
2252,17990,5785.0,5.0,MPV,1598.0,Manual,2019.0,Seat,Ateca
2253,6495,24621.0,5.0,MPV,1398.0,Manual,2016.0,Vauxhall,Meriva
2254,18989,50.0,5.0,MPV,1373.0,Manual,2019.0,Suzuki,Vitara
2255,2575,39086.0,5.0,MPV,1999.0,Automatic,2007.0,Ford,Focus
2256,9480,27318.0,5.0,MPV,1560.0,Manual,2015.0,Peugeot,3008
2257,8500,37682.0,5.0,MPV,1582.0,Manual,2017.0,Hyundai,IX20
2258,9995,21545.0,5.0,MPV,1200.0,Manual,2018.0,Citroen,C3
2259,21245,7485.0,5.0,MPV,2000.0,Automatic,2019.0,Citroen,C4
2260,3595,71000.0,5.0,MPV,1560.0,Manual,2012.0,Citroen,C3
2261,14750,26708.0,5.0,MPV,1997.0,Automatic,2017.0,Citroen,C4
2262,8999,21714.0,5.0,MPV,1995.0,Automatic,2011.0,Renault,Grand
2263,15999,24886.0,5.0,MPV,1997.0,Manual,2016.0,Ford,S-Max
2264,5495,86000.0,5.0,MPV,1560.0,Manual,2014.0,Ford,C-Max
2265,12990,47070.0,5.0,MPV,1997.0,Manual,2015.0,Ford,S-Max
2266,3995,109803.0,5.0,MPV,1896.0,Manual,2005.0,Volkswagen,Sharan
2267,11499,15959.0,5.0,MPV,999.0,Manual,2017.0,Ford,Grand
2268,17500,15470.0,5.0,MPV,1500.0,Manual,2018.0,Ford,Kuga
2269,8500,111250.0,5.0,MPV,1995.0,Automatic,2015.0,BMW,2
2270,6124,65072.0,5.0,MPV,1997.0,Automatic,2012.0,Ford,C-Max
2271,5449,85000.0,5.0,MPV,2362.0,Automatic,2020.0,Toyota,Previa
2272,4895,90000.0,5.0,MPV,1560.0,Manual,2015.0,Ford,C-Max
2273,14995,14188.0,5.0,MPV,1499.0,Manual,2018.0,Citroen,C4
2274,7500,118220.0,5.0,MPV,1499.0,Manual,2016.0,BMW,2
2275,1500,95000.0,5.0,MPV,1598.0,Manual,2007.0,Vauxhall,Zafira
2276,11598,16393.0,5.0,MPV,1364.0,Manual,2017.0,Vauxhall,Zafira
2277,14995,5000.0,5.0,MPV,1200.0,Automatic,2019.0,Citroen,C3
