,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
5230,5500,46345.0,5.0,Hatchback,1600.0,Manual,2015.0,Peugeot,308
5231,5495,42000.0,3.0,Hatchback,1229.0,Manual,2013.0,Vauxhall,Adam
5232,8295,47000.0,3.0,Hatchback,1395.0,Manual,2013.0,Audi,A3
5233,9995,6751.0,5.0,Hatchback,998.0,Automatic,2017.0,Toyota,Aygo
5234,3595,73559.0,5.0,Hatchback,898.0,Manual,2013.0,Dacia,Sandero
5235,6980,33357.0,5.0,Hatchback,1956.0,Manual,2015.0,Vauxhall,Insignia
5236,12900,24658.0,3.0,Hatchback,1998.0,Manual,2018.0,Mini,Hatch
5237,11998,72880.0,5.0,Hatchback,1968.0,Manual,2014.0,Volkswagen,Golf
5238,8295,49529.0,5.0,Hatchback,1798.0,Manual,2015.0,Honda,Civic
5239,3899,59404.0,3.0,Hatchback,1240.0,Automatic,2010.0,Nissan,Micra
5240,4950,51000.0,5.0,Hatchback,1149.0,Manual,2014.0,Renault,Clio
5241,3550,32000.0,5.0,Hatchback,1328.0,Manual,2009.0,Suzuki,Swift
5242,18295,7584.0,5.0,Hatchback,1598.0,Manual,2018.0,Nissan,Qashqai
5243,17480,3265.0,5.0,Hatchback,999.0,Manual,2019.0,Ford,EcoSport
5244,16000,30592.0,5.0,Hatchback,1461.0,Automatic,2016.0,Mercedes-Benz,A
5245,8474,32160.0,5.0,Hatchback,1368.0,Manual,2016.0,Fiat,500X
5246,2575,109000.0,5.0,Hatchback,1798.0,Manual,2009.0,Ford,Focus
5247,14499,11525.0,5.0,Hatchback,1500.0,Manual,2019.0,Nissan,Qashqai
5248,15999,6819.0,5.0,Hatchback,1499.0,Manual,2019.0,BMW,1
5249,14798,24910.0,5.0,Hatchback,1984.0,Automatic,2019.0,Seat,Leon
5251,7495,38748.0,3.0,Hatchback,1242.0,Manual,2016.0,Suzuki,Swift
5252,7998,40436.0,5.0,Hatchback,1197.0,Manual,2016.0,Seat,Ibiza
5253,11950,22486.0,5.0,Hatchback,1618.0,Manual,2016.0,Nissan,Juke
5254,11990,29445.0,5.0,Hatchback,1997.0,Manual,2016.0,Ford,Focus
5255,12791,47836.0,5.0,Hatchback,1968.0,Manual,2018.0,Seat,Leon
5256,8649,29609.0,5.0,Hatchback,1241.0,Manual,2017.0,Ford,Fiesta
5257,9695,30240.0,5.0,Hatchback,898.0,Manual,2017.0,Renault,Captur
5258,7823,37462.0,5.0,Hatchback,998.0,Manual,2015.0,Ford,Fiesta
5259,7250,6500.0,3.0,Hatchback,1248.0,Manual,2016.0,Kia,Picanto
5260,12599,17768.0,5.0,Hatchback,988.0,Manual,2018.0,Honda,Civic
5261,6990,58000.0,5.0,Hatchback,1598.0,Manual,2016.0,Vauxhall,Insignia
5262,10295,48000.0,5.0,Hatchback,1598.0,Manual,2017.0,Suzuki,Vitara
5263,11100,12917.0,5.0,Hatchback,1364.0,Manual,2017.0,Vauxhall,Mokka
5264,5295,80700.0,5.0,Hatchback,1598.0,Manual,2011.0,Mini,Countryman
5265,11449,15519.0,5.0,Hatchback,1200.0,Manual,2017.0,Renault,Kadjar
5266,20698,14516.0,5.0,Hatchback,1984.0,Manual,2017.0,Volkswagen,Golf
5267,8495,23205.0,5.0,Hatchback,1198.0,Manual,2015.0,Nissan,Pulsar
5268,689,106000.0,5.0,Hatchback,1753.0,Manual,2007.0,Ford,Focus
5269,9949,63978.0,5.0,Hatchback,1968.0,Manual,2014.0,Volkswagen,Golf
5270,17770,45734.0,5.0,Hatchback,1595.0,Automatic,2017.0,Mercedes-Benz,GLA
5271,23740,13712.0,5.0,Hatchback,1997.0,Automatic,2018.0,Ford,Edge
5272,20295,4500.0,3.0,Hatchback,1998.0,Automatic,2019.0,Mini,Hatch
5273,23995,10950.0,5.0,Hatchback,1984.0,Automatic,2018.0,Volkswagen,T-Roc
5274,11300,17577.0,5.0,Hatchback,1598.0,Manual,2016.0,Audi,A1
5275,14150,10600.0,5.0,Hatchback,1197.0,Automatic,2016.0,Skoda,Yeti
5276,14750,7412.0,5.0,Hatchback,1497.0,Manual,2019.0,Toyota,Yaris
