,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
2118,12990,24638.0,5.0,Hatchback,1395.0,Manual,2016.0,Audi,A3
2119,9298,2413.0,5.0,Hatchback,1248.0,Manual,2019.0,Kia,Picanto
2120,10995,88500.0,4.0,4x4,3630.0,Automatic,2009.0,Land-Rover,Range
2121,26000,21100.0,5.0,4x4,1997.0,Manual,2019.0,Ford,Kuga
2122,31336,9167.0,5.0,4x4,1995.0,Automatic,2019.0,BMW,X3
2123,22976,3941.0,5.0,4x4,1498.0,Manual,2019.0,Audi,Q2
2124,29995,36804.0,5.0,4x4,2993.0,Automatic,2016.0,BMW,X5
2125,3995,98302.0,3.0,4x4,1328.0,Manual,2008.0,Suzuki,Jimny
2126,31990,4423.0,5.0,4x4,1969.0,Automatic,2019.0,Volvo,XC60
2127,15500,1500.0,5.0,4x4,1333.0,Manual,2020.0,Dacia,Duster
2128,22500,63941.0,5.0,4x4,2000.0,Automatic,2017.0,Land-Rover,Range
2129,30000,10191.0,5.0,4x4,1968.0,Manual,2019.0,Volkswagen,Tiguan
2130,14698,50289.0,5.0,Estate,1968.0,Automatic,2015.0,Volkswagen,Tiguan
2131,14299,3175.0,5.0,Estate,1598.0,Manual,2019.0,Kia,Stonic
2132,34000,50.0,5.0,Estate,2000.0,Automatic,2020.0,Volvo,XC60
2133,19998,16495.0,5.0,Estate,1498.0,Manual,2019.0,Volkswagen,Tiguan
2134,13000,7231.0,5.0,Estate,1199.0,Manual,2018.0,Vauxhall,Crossland
2135,13690,17757.0,6.0,Estate,1995.0,Manual,2017.0,Mini,Clubman
2136,28480,18086.0,5.0,Estate,2000.0,Automatic,2018.0,Jaguar,E-Pace
2137,10990,88000.0,5.0,Estate,1995.0,Automatic,2013.0,BMW,5
2138,59995,3500.0,5.0,Estate,2993.0,Automatic,2018.0,Land-Rover,Range-Rover-Sport
2139,26290,21671.0,5.0,Estate,2000.0,Automatic,2018.0,BMW,X3
2140,72995,19500.0,2.0,Coupe,3600.0,Automatic,2008.0,Porsche,911
2141,15000,54213.0,5.0,Coupe,1995.0,Automatic,2015.0,BMW,4
2142,6995,126700.0,2.0,Coupe,2143.0,Manual,2013.0,Mercedes-Benz,C
2143,26980,13371.0,2.0,Coupe,1497.0,Manual,2019.0,Mercedes-Benz,C
2144,5995,107115.0,2.0,Coupe,2996.0,Automatic,2008.0,BMW,6
2145,15780,18170.0,3.0,Coupe,2000.0,Manual,2017.0,Volkswagen,Scirocco
2146,17495,59000.0,2.0,Coupe,3999.0,Manual,2008.0,BMW,M3
2147,15499,24216.0,2.0,Coupe,1995.0,Manual,2017.0,BMW,2
2148,27832,11847.0,2.0,Coupe,1950.0,Manual,2018.0,Mercedes-Benz,C
2149,19991,8018.0,2.0,Coupe,1998.0,Automatic,2018.0,BMW,4
2150,295000,538.0,2.0,Convertible,6500.0,Automatic,2018.0,Lamborghini,Aventador
2151,5790,35825.0,5.0,Convertible,998.0,Manual,2016.0,Peugeot,108
2152,10000,41450.0,2.0,Convertible,2497.0,Manual,2011.0,BMW,Z4
2154,18990,45300.0,2.0,Convertible,3000.0,Automatic,1991.0,Mercedes-Benz,SL
2155,1695,114600.0,2.0,Convertible,1984.0,Manual,2001.0,Volkswagen,Golf
2156,8190,36000.0,2.0,Convertible,1995.0,Automatic,2012.0,BMW,1
2157,13500,4924.0,2.0,Convertible,1499.0,Manual,2018.0,Mini,Convertible
2158,4795,63000.0,2.0,Convertible,1999.0,Manual,2008.0,Mazda,MX-5
2160,9967,15769.0,5.0,MPV,1560.0,Manual,2017.0,Citroen,C4
2161,5495,18000.0,4.0,MPV,3300.0,Manual,1999.0,Nissan,Elgrand
2162,9999,21973.0,5.0,MPV,1500.0,Manual,2017.0,Ford,C-Max
2163,13950,27000.0,5.0,MPV,2497.0,Manual,2017.0,Hyundai,I800
2164,47995,1824.0,5.0,MPV,1950.0,Automatic,2019.0,Mercedes-Benz,V
2165,9500,28989.0,5.0,MPV,1461.0,Manual,2014.0,Nissan,NV200
2166,6995,56500.0,5.0,MPV,1596.0,Manual,2011.0,Ford,C-Max
2167,5350,62000.0,5.0,MPV,1198.0,Manual,2015.0,Nissan,Note
2168,5499,55000.0,5.0,MPV,1498.0,Manual,2014.0,Ford,B-MAX
2170,995,118000.0,4.0,Saloon,1796.0,Automatic,2003.0,Mercedes-Benz,C
2171,12998,37705.0,4.0,Saloon,1999.0,Manual,2015.0,Jaguar,XE
2172,10450,57197.0,4.0,Saloon,2200.0,Automatic,2012.0,Jaguar,XF
2173,10995,41450.0,4.0,Saloon,2179.0,Automatic,2013.0,Jaguar,XF
2174,17698,27840.0,4.0,Saloon,1998.0,Automatic,2016.0,BMW,3
2175,13798,47007.0,4.0,Saloon,1995.0,Automatic,2015.0,BMW,3
2178,21000,11835.0,4.0,Saloon,2100.0,Automatic,2017.0,Alfa-Romeo,Giulia
2179,12450,67000.0,4.0,Saloon,1995.0,Automatic,2017.0,BMW,3
2180,7072,22572.0,5.0,Hatchback,998.0,Manual,2017.0,Toyota,Aygo
2181,2695,71078.0,5.0,Hatchback,1598.0,Manual,2011.0,Renault,Megane
2182,6620,20905.0,5.0,Hatchback,1248.0,Manual,2015.0,Hyundai,I10
2183,10499,15097.0,5.0,Hatchback,998.0,Manual,2018.0,Ford,Fiesta
2185,9298,17497.0,5.0,Hatchback,998.0,Manual,2017.0,Ford,Fiesta
2186,9795,37551.0,5.0,Hatchback,1339.0,Automatic,2014.0,Honda,Jazz
2187,1295,113000.0,3.0,Hatchback,998.0,Manual,2007.0,Peugeot,107
2188,8930,15379.0,3.0,Hatchback,998.0,Manual,2018.0,Ford,Fiesta
2189,11995,5803.0,5.0,Hatchback,1197.0,Manual,2016.0,Skoda,Fabia
2190,6990,369000.0,5.0,4x4,4164.0,Manual,1993.0,Toyota,Landcruiser
2191,17500,19963.0,5.0,4x4,2268.0,Automatic,2016.0,Mitsubishi,Outlander
2192,27640,5500.0,5.0,4x4,1969.0,Manual,2019.0,Volvo,V90
2193,16950,15798.0,5.0,4x4,1591.0,Manual,2018.0,Hyundai,Tucson
2194,23812,15846.0,5.0,4x4,1998.0,Automatic,2019.0,BMW,X1
2195,44000,50.0,5.0,4x4,2000.0,Automatic,2020.0,Volvo,XC90
2196,17295,16224.0,5.0,4x4,1591.0,Manual,2018.0,Kia,Sportage
2197,30822,5364.0,5.0,4x4,1999.0,Automatic,2018.0,Jaguar,E-Pace
2198,13499,61698.0,5.0,4x4,1968.0,Manual,2016.0,Audi,Q3
2199,3950,67278.0,5.0,4x4,2184.0,Manual,2006.0,Nissan,X-Trail
2200,13300,23401.0,5.0,Estate,1591.0,Manual,2018.0,Hyundai,Tucson
2201,34500,5000.0,5.0,Estate,2000.0,Automatic,2019.0,Audi,A4
2202,19999,15630.0,5.0,Estate,1998.0,Automatic,2019.0,BMW,3
2203,11490,90000.0,5.0,Estate,2488.0,Manual,2014.0,Nissan,Pathfinder
2204,17499,51095.0,5.0,Estate,2143.0,Automatic,2015.0,Mercedes-Benz,C
2205,20680,14882.0,5.0,Estate,1400.0,Automatic,2018.0,Audi,Q2
2206,13514,63097.0,5.0,Estate,1598.0,Manual,2017.0,Nissan,X-Trail
2207,16995,19309.0,5.0,Estate,1997.0,Automatic,2016.0,Honda,CR-V
2208,11795,79500.0,5.0,Estate,1968.0,Manual,2016.0,Audi,A4
2210,3995,77000.0,2.0,Coupe,1995.0,Manual,2007.0,BMW,3
2211,7495,93697.0,2.0,Coupe,1995.0,Manual,2012.0,BMW,1
2212,8990,37000.0,2.0,Coupe,1995.0,Manual,2012.0,BMW,3
2213,13988,84900.0,2.0,Coupe,3999.0,Automatic,2008.0,BMW,M3
2214,5990,42108.0,2.0,Coupe,1390.0,Manual,2009.0,Volkswagen,Scirocco
2215,14499,24160.0,2.0,Coupe,1995.0,Manual,2015.0,BMW,2
2216,43898,2679.0,4.0,Coupe,2998.0,Automatic,2020.0,BMW,X4
2217,24950,6185.0,2.0,Coupe,2998.0,Automatic,2018.0,BMW,2
2218,6895,37319.0,2.0,Coupe,1798.0,Manual,2010.0,Mazda,MX-5
2219,10495,51000.0,3.0,Coupe,1968.0,Manual,2014.0,Volkswagen,Scirocco
2220,9990,70000.0,2.0,Convertible,3498.0,Automatic,2007.0,Mercedes-Benz,SL
2221,40998,1255.0,2.0,Convertible,1950.0,Automatic,2019.0,Mercedes-Benz,E
2222,3995,79299.0,2.0,Convertible,1598.0,Manual,2009.0,Mini,Convertible
2223,20995,10.0,2.0,Convertible,1496.0,Manual,2019.0,Mazda,MX-5
2224,28000,2999.0,2.0,Convertible,1498.0,Manual,2020.0,Audi,A3
2225,13950,48000.0,2.0,Convertible,3179.0,Manual,2005.0,Porsche,Boxster
2227,5995,26221.0,2.0,Convertible,1600.0,Manual,2012.0,Mini,Convertible
2228,25990,6000.0,2.0,Convertible,1497.0,Automatic,2018.0,Mercedes-Benz,C
2229,9295,84001.0,2.0,Convertible,2987.0,Automatic,2011.0,Mercedes-Benz,E
2230,7999,24770.0,5.0,MPV,1560.0,Manual,2014.0,Ford,C-Max
2231,14499,21970.0,5.0,MPV,1461.0,Manual,2018.0,Renault,Grand
2232,12295,33274.0,5.0,MPV,1364.0,Automatic,2017.0,Vauxhall,Zafira
2233,4695,28276.0,5.0,MPV,1149.0,Manual,2009.0,Renault,Kangoo
2234,4795,154000.0,5.0,MPV,1968.0,Manual,2014.0,Volkswagen,Sharan
2235,4100,48332.0,5.0,MPV,1686.0,Manual,2012.0,Vauxhall,Meriva
2236,8995,32000.0,5.0,MPV,1598.0,Manual,2012.0,Volkswagen,Touran
2237,15299,15635.0,5.0,MPV,1560.0,Manual,2017.0,Citroen,C4
2238,13770,4112.0,5.0,MPV,1368.0,Manual,2019.0,Fiat,500L
2240,15499,28054.0,4.0,Saloon,1999.0,Automatic,2016.0,Jaguar,XF
2241,13400,18200.0,4.0,Saloon,2191.0,Manual,2016.0,Mazda,6
2242,11988,47788.0,4.0,Saloon,1968.0,Automatic,2014.0,Audi,A4
2243,20998,32326.0,4.0,Saloon,2494.0,Automatic,2017.0,Lexus,IS
2244,7950,80000.0,4.0,Saloon,1968.0,Manual,2012.0,Audi,A4
2245,16891,30623.0,4.0,Saloon,1999.0,Automatic,2016.0,Jaguar,XE
2246,29998,836.0,4.0,Saloon,1991.0,Automatic,2019.0,Mercedes-Benz,C
2247,13989,54100.0,4.0,Saloon,3498.0,Automatic,2015.0,Infiniti,Q50
2248,46500,6249.0,4.0,Saloon,2993.0,Automatic,2019.0,BMW,7
2249,7490,111000.0,4.0,Saloon,2967.0,Automatic,2010.0,Audi,A8
2250,4490,49067.0,5.0,Hatchback,1591.0,Automatic,2011.0,Kia,Venga
2251,2800,89385.0,5.0,Hatchback,1390.0,Manual,2010.0,Seat,Ibiza
2252,13998,9328.0,5.0,Hatchback,999.0,Manual,2018.0,Ford,Focus
2253,10650,114000.0,5.0,Hatchback,1798.0,Automatic,2015.0,Toyota,Prius
2254,10395,32075.0,5.0,Hatchback,1197.0,Automatic,2015.0,Renault,Captur
