,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
0,2481,123000.0,4.0,Saloon,1968.0,Manual,2009.0,Seat,Exeo
1,10000,86800.0,4.0,Saloon,1995.0,Manual,2016.0,BMW,3
3,9495,39000.0,4.0,Saloon,1796.0,Automatic,2011.0,Mercedes-Benz,C
4,22910,25596.0,4.0,Saloon,2993.0,Automatic,2016.0,BMW,6
5,9995,63000.0,4.0,Saloon,1598.0,Manual,2015.0,Volkswagen,Passat
6,21999,10000.0,4.0,Saloon,1997.0,Automatic,2018.0,Jaguar,XE
7,16950,80000.0,4.0,Saloon,2987.0,Automatic,2015.0,Maserati,Quattroporte
8,9195,47444.0,4.0,Saloon,2200.0,Automatic,2013.0,Honda,Accord
9,14000,27322.0,4.0,Saloon,2191.0,Automatic,2017.0,Mazda,6
10,29995,3160.0,4.0,Saloon,1998.0,Automatic,2019.0,BMW,3
11,14600,23306.0,4.0,Saloon,1395.0,Manual,2017.0,Audi,A4
12,6790,130000.0,4.0,Saloon,1968.0,Manual,2011.0,Audi,A4
13,10999,59378.0,4.0,Saloon,1995.0,Automatic,2014.0,BMW,3
14,13999,75200.0,4.0,Saloon,1991.0,Automatic,2016.0,Mercedes-Benz,C
15,5495,94798.0,4.0,Saloon,1968.0,Manual,2010.0,Audi,A4
16,17400,29000.0,4.0,Saloon,1999.0,Automatic,2016.0,Jaguar,XE
17,14649,34079.0,4.0,Saloon,2143.0,Automatic,2015.0,Mercedes-Benz,C
18,27000,10963.0,4.0,Saloon,1998.0,Automatic,2018.0,BMW,5
19,13490,75000.0,4.0,Saloon,1999.0,Automatic,2016.0,Jaguar,XF
20,19990,3309.0,5.0,Saloon,999.0,Manual,2019.0,Audi,Q2
21,11495,64200.0,4.0,Saloon,1995.0,Automatic,2013.0,BMW,3
22,15290,39000.0,4.0,Saloon,1991.0,Automatic,2014.0,Mercedes-Benz,C
23,9691,22714.0,5.0,Saloon,1000.0,Manual,2017.0,Ford,EcoSport
24,9991,52560.0,4.0,Saloon,2179.0,Automatic,2013.0,Jaguar,XF
25,26999,39129.0,4.0,Saloon,1998.0,Automatic,2016.0,BMW,7
26,29844,10.0,4.0,Saloon,1999.0,Automatic,2020.0,Jaguar,XE
27,8495,49172.0,4.0,Saloon,1968.0,Manual,2014.0,Volkswagen,Passat
28,8999,59000.0,4.0,Saloon,1560.0,Manual,2015.0,Volvo,S60
29,20999,27500.0,4.0,Saloon,3000.0,Automatic,2017.0,BMW,3
30,16999,28763.0,4.0,Saloon,2143.0,Automatic,2017.0,Mercedes-Benz,C
31,4000,106250.0,4.0,Saloon,1995.0,Manual,2008.0,BMW,3
32,19935,39173.0,4.0,Saloon,2143.0,Automatic,2018.0,Mercedes-Benz,C
33,32952,1999.0,4.0,Saloon,1999.0,Automatic,2020.0,Jaguar,XF
34,18995,9812.0,4.0,Saloon,1498.0,Manual,2018.0,Audi,A3
35,17300,18805.0,4.0,Saloon,1999.0,Automatic,2018.0,Ford,Mondeo
37,17970,50903.0,4.0,Saloon,2993.0,Automatic,2016.0,Jaguar,XF
38,21780,35820.0,4.0,Saloon,2993.0,Automatic,2018.0,BMW,3
39,31100,5169.0,4.0,Saloon,1950.0,Manual,2019.0,Mercedes-Benz,C
40,1995,114000.0,4.0,Saloon,1968.0,Manual,2006.0,Volkswagen,Passat
41,4995,124000.0,4.0,Saloon,1956.0,Manual,2010.0,Saab,9-5
42,41767,11803.0,4.0,Saloon,4395.0,Manual,2017.0,BMW,M6
43,26891,22414.0,4.0,Saloon,3000.0,Automatic,2018.0,Audi,A4
44,2590,95700.0,4.0,Saloon,1968.0,Automatic,2008.0,Volkswagen,Passat
46,35950,5043.0,4.0,Saloon,1995.0,Automatic,2019.0,BMW,5
47,3450,75000.0,4.0,Saloon,1995.0,Automatic,2007.0,BMW,3
