,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model,luxury_brand,brand_new,old,sports_car
3041,17790,29472.0,2.0,Coupe,2000.0,Automatic,2017.0,BMW,2,1,0,0,0
3042,15689,62280.0,4.0,Coupe,2993.0,Automatic,2013.0,BMW,6,1,0,0,1
3043,18995,52212.0,4.0,Coupe,1998.0,Automatic,2017.0,BMW,4,1,0,0,0
3044,12071,40980.0,2.0,Coupe,1995.0,Manual,2016.0,BMW,2,1,0,0,0
3045,45995,20500.0,2.0,Coupe,3982.0,Automatic,2017.0,Mercedes-Benz,C,1,0,0,1
3046,74000,4000.0,2.0,Coupe,5998.0,Automatic,2017.0,Bentley,Continental,1,1,0,1
3047,19970,28262.0,2.0,Coupe,3000.0,Automatic,2017.0,BMW,2,1,0,0,1
3048,47000,26950.0,3.0,Coupe,5000.0,Automatic,2018.0,Jaguar,F-Type,1,0,0,1
3049,7795,74000.0,2.0,Coupe,1995.0,Manual,2012.0,BMW,3,1,0,0,0
3050,25000,24848.0,2.0,Coupe,2998.0,Manual,2018.0,BMW,4,1,0,0,1
3051,5995,94528.0,2.0,Coupe,2996.0,Automatic,2008.0,BMW,1,1,0,0,1
3052,20560,17230.0,4.0,Coupe,1595.0,Manual,2019.0,Mercedes-Benz,CLA,1,0,0,0
3053,21995,67183.0,2.0,Coupe,3596.0,Manual,2002.0,Porsche,911,1,0,0,1
3054,94800,350.0,2.0,Coupe,2981.0,Automatic,2019.0,Porsche,911,1,1,0,1
3055,10999,36386.0,3.0,Coupe,1998.0,Manual,2013.0,Vauxhall,GTC,0,0,0,0
3056,29980,6073.0,2.0,Coupe,1950.0,Manual,2019.0,Mercedes-Benz,C,1,1,0,0
3057,9190,66520.0,3.0,Coupe,1968.0,Manual,2014.0,Volkswagen,Scirocco,0,0,0,0
3058,1995,64555.0,2.0,Coupe,1796.0,Manual,2006.0,Vauxhall,Tigra,0,0,0,0
3059,56000,6590.0,2.0,Coupe,2993.0,Automatic,2019.0,BMW,8,1,1,0,1
3060,11270,74453.0,2.0,Coupe,1968.0,Manual,2013.0,Audi,A5,1,0,0,0
3061,2995,32000.0,3.0,Coupe,1597.0,Manual,1993.0,Nissan,100NX,0,0,0,0
3062,23498,19366.0,2.0,Coupe,2979.0,Automatic,2016.0,BMW,6,1,0,0,1
3063,27995,18322.0,3.0,Coupe,1984.0,Automatic,2017.0,Audi,TT,1,0,0,0
3064,13495,72000.0,2.0,Coupe,2993.0,Automatic,2015.0,BMW,4,1,0,0,1
3065,88850,15302.0,2.0,Coupe,5998.0,Automatic,2017.0,Bentley,Continental,1,0,0,1
