,price,mileage,door/body,eng/tran,year/make/model
59,"£3,999","<span> 135,000 miles</span>", 4 Door Saloon,1984cc Manual ,2012 Volvo S60
60,"£17,999","<span> 24,500 miles</span>", 4 Door Saloon,1395cc Manual ,2017 Audi A4
61,"£28,400","<span> 2,471 miles</span>", 4 Door Saloon,1998cc Automatic ,2019 BMW 3 Series
62,"£24,888","<span> 4,843 miles</span>", 4 Door Saloon,1969cc Manual ,2019 Volvo S90
63,"£2,000","<span> 109,450 miles</span>", 4 Door Saloon,1998cc Manual ,2007 Jaguar X-Type
64,"£10,499","<span> 80,476 miles</span>", 4 Door Saloon,1995cc Manual ,2017 BMW 3 Series
65,"£23,888","<span> 1,886 miles</span>", 5 Door Saloon,1495cc Manual ,2019 Audi Q2
66,"£34,993","<span> 2,000 miles</span>", 4 Door Saloon,2993cc Automatic ,2020 BMW 3 Series
67,"£9,850","<span> 83,750 miles</span>", 4 Door Saloon,1999cc Manual ,2015 Jaguar XF
68,"£26,995","<span> 13,179 miles</span>", 4 Door Saloon,3000cc Automatic ,2018 Audi A4
69,"£9,880","<span> 46,248 miles</span>", 4 Door Saloon,1998cc Manual ,2017 Mazda 6
70,"£7,995","<span> 98,000 miles</span>", 4 Door Saloon,2953cc Automatic ,2011 Volvo S80
71,"£4,995","<span> 116,000 miles</span>", 4 Door Saloon,1968cc Manual ,2011 Audi A6
72,"£4,995","<span> 52,000 miles</span>", 4 Door Saloon,1849cc Manual ,2015 Mg MG6
73,"£19,999","<span> 28,130 miles</span>", 4 Door Saloon,2494cc Automatic ,2016 Lexus GS
74,"£21,998","<span> 17,810 miles</span>", 4 Door Saloon,1995cc Automatic ,2018 BMW 3 Series
75,"£17,970","<span> 20,802 miles</span>", 4 Door Saloon,2143cc Automatic ,2016 Mercedes-Benz C Class
76,"£9,300","<span> 61,175 miles</span>", 4 Door Saloon,1968cc Automatic ,2015 Volkswagen Passat
77,"£29,500","<span> 20,067 miles</span>", 4 Door Saloon,2996cc Automatic ,2016 Mercedes-Benz C Class
78,"£5,399","<span> 104,328 miles</span>", 4 Door Saloon,2143cc Manual ,2011 Mercedes-Benz C Class
79,"£17,500","<span> 29,589 miles</span>", 4 Door Saloon,2000cc Automatic ,2018 BMW 3 Series
80,"£8,400","<span> 68,495 miles</span>", 4 Door Saloon,1995cc Automatic ,2012 BMW 3 Series
81,"£15,567","<span> 55,119 miles</span>", 4 Door Saloon,2995cc Automatic ,2014 Audi A4
82,"£23,999","<span> 7,000 miles</span>", 4 Door Saloon,2993cc Automatic ,2018 Jaguar XJ Series
83,"£4,995","<span> 90,637 miles</span>", 4 Door Saloon,2720cc Automatic ,2007 Jaguar XJ Series
84,"£19,399","<span> 55,407 miles</span>", 4 Door Saloon,1950cc Automatic ,2016 Mercedes-Benz E Class
